Title,Description,Sentiment
Title 138,Coca-Cola is amazing and refreshing.,Positive
Title 139,Coca-Cola is amazing and refreshing.,Positive
Title 140,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 141,I love Coca-Cola! It's the best drink ever.,Positive
Title 142,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 143,Coca-Cola always makes my day better.,Positive
Title 144,Coca-Cola always makes my day better.,Positive
Title 145,Coca-Cola always makes my day better.,Positive
Title 146,Coca-Cola always makes my day better.,Positive
Title 147,Coca-Cola always makes my day better.,Positive
Title 148,My favorite beverage is Coca-Cola.,Positive
Title 149,Coca-Cola is amazing and refreshing.,Positive
Title 150,Coca-Cola always makes my day better.,Positive
Title 151,I love Coca-Cola! It's the best drink ever.,Positive
Title 152,I love Coca-Cola! It's the best drink ever.,Positive
Title 153,I love Coca-Cola! It's the best drink ever.,Positive
Title 154,I love Coca-Cola! It's the best drink ever.,Positive
Title 155,My favorite beverage is Coca-Cola.,Positive
Title 156,I love Coca-Cola! It's the best drink ever.,Positive
Title 157,Coca-Cola always makes my day better.,Positive
Title 158,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 159,I love Coca-Cola! It's the best drink ever.,Positive
Title 160,My favorite beverage is Coca-Cola.,Positive
Title 161,My favorite beverage is Coca-Cola.,Positive
Title 162,I love Coca-Cola! It's the best drink ever.,Positive
Title 163,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 164,I love Coca-Cola! It's the best drink ever.,Positive
Title 165,My favorite beverage is Coca-Cola.,Positive
Title 166,Coca-Cola is amazing and refreshing.,Positive
Title 167,Coca-Cola always makes my day better.,Positive
Title 168,My favorite beverage is Coca-Cola.,Positive
Title 169,I love Coca-Cola! It's the best drink ever.,Positive
Title 170,Coca-Cola always makes my day better.,Positive
Title 171,I love Coca-Cola! It's the best drink ever.,Positive
Title 172,I love Coca-Cola! It's the best drink ever.,Positive
Title 173,Coca-Cola is amazing and refreshing.,Positive
Title 174,Coca-Cola always makes my day better.,Positive
Title 175,Coca-Cola always makes my day better.,Positive
Title 176,Coca-Cola is amazing and refreshing.,Positive
Title 177,My favorite beverage is Coca-Cola.,Positive
Title 178,I love Coca-Cola! It's the best drink ever.,Positive
Title 179,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 180,I love Coca-Cola! It's the best drink ever.,Positive
Title 181,I love Coca-Cola! It's the best drink ever.,Positive
Title 182,My favorite beverage is Coca-Cola.,Positive
Title 183,I love Coca-Cola! It's the best drink ever.,Positive
Title 184,Coca-Cola is amazing and refreshing.,Positive
Title 185,Coca-Cola is amazing and refreshing.,Positive
Title 186,Coca-Cola always makes my day better.,Positive
Title 187,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 188,I love Coca-Cola! It's the best drink ever.,Positive
Title 189,I love Coca-Cola! It's the best drink ever.,Positive
Title 190,My favorite beverage is Coca-Cola.,Positive
Title 191,Coca-Cola is amazing and refreshing.,Positive
Title 192,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 193,Coca-Cola always makes my day better.,Positive
Title 194,Coca-Cola is amazing and refreshing.,Positive
Title 195,Coca-Cola always makes my day better.,Positive
Title 196,My favorite beverage is Coca-Cola.,Positive
Title 197,My favorite beverage is Coca-Cola.,Positive
Title 198,I love Coca-Cola! It's the best drink ever.,Positive
Title 199,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 200,Coca-Cola always makes my day better.,Positive
Title 201,Coca-Cola is amazing and refreshing.,Positive
Title 202,My favorite beverage is Coca-Cola.,Positive
Title 203,I love Coca-Cola! It's the best drink ever.,Positive
Title 204,I love Coca-Cola! It's the best drink ever.,Positive
Title 205,Coca-Cola always makes my day better.,Positive
Title 206,My favorite beverage is Coca-Cola.,Positive
Title 207,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 208,My favorite beverage is Coca-Cola.,Positive
Title 209,Coca-Cola always makes my day better.,Positive
Title 210,Coca-Cola always makes my day better.,Positive
Title 211,My favorite beverage is Coca-Cola.,Positive
Title 212,Coca-Cola always makes my day better.,Positive
Title 213,My favorite beverage is Coca-Cola.,Positive
Title 214,Coca-Cola is amazing and refreshing.,Positive
Title 215,My favorite beverage is Coca-Cola.,Positive
Title 216,My favorite beverage is Coca-Cola.,Positive
Title 217,Coca-Cola always makes my day better.,Positive
Title 218,Coca-Cola always makes my day better.,Positive
Title 219,I love Coca-Cola! It's the best drink ever.,Positive
Title 220,I love Coca-Cola! It's the best drink ever.,Positive
Title 221,Coca-Cola is amazing and refreshing.,Positive
Title 222,I love Coca-Cola! It's the best drink ever.,Positive
Title 223,My favorite beverage is Coca-Cola.,Positive
Title 224,Coca-Cola always makes my day better.,Positive
Title 225,I love Coca-Cola! It's the best drink ever.,Positive
Title 226,I love Coca-Cola! It's the best drink ever.,Positive
Title 227,Coca-Cola is amazing and refreshing.,Positive
Title 228,Coca-Cola is amazing and refreshing.,Positive
Title 229,My favorite beverage is Coca-Cola.,Positive
Title 230,Coca-Cola always makes my day better.,Positive
Title 231,Coca-Cola is amazing and refreshing.,Positive
Title 232,I love Coca-Cola! It's the best drink ever.,Positive
Title 233,Coca-Cola always makes my day better.,Positive
Title 234,Coca-Cola always makes my day better.,Positive
Title 235,I love Coca-Cola! It's the best drink ever.,Positive
Title 236,Coca-Cola is amazing and refreshing.,Positive
Title 237,I love Coca-Cola! It's the best drink ever.,Positive
Title 238,Coca-Cola always makes my day better.,Positive
Title 239,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 240,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 241,My favorite beverage is Coca-Cola.,Positive
Title 242,I love Coca-Cola! It's the best drink ever.,Positive
Title 243,I love Coca-Cola! It's the best drink ever.,Positive
Title 244,My favorite beverage is Coca-Cola.,Positive
Title 245,My favorite beverage is Coca-Cola.,Positive
Title 246,My favorite beverage is Coca-Cola.,Positive
Title 247,Coca-Cola always makes my day better.,Positive
Title 248,I love Coca-Cola! It's the best drink ever.,Positive
Title 249,Coca-Cola always makes my day better.,Positive
Title 250,My favorite beverage is Coca-Cola.,Positive
Title 251,I love Coca-Cola! It's the best drink ever.,Positive
Title 252,Coca-Cola always makes my day better.,Positive
Title 253,Coca-Cola always makes my day better.,Positive
Title 254,My favorite beverage is Coca-Cola.,Positive
Title 255,I love Coca-Cola! It's the best drink ever.,Positive
Title 256,My favorite beverage is Coca-Cola.,Positive
Title 257,I love Coca-Cola! It's the best drink ever.,Positive
Title 258,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 259,Coca-Cola is amazing and refreshing.,Positive
Title 260,Coca-Cola is amazing and refreshing.,Positive
Title 261,Coca-Cola is amazing and refreshing.,Positive
Title 262,My favorite beverage is Coca-Cola.,Positive
Title 263,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 264,I love Coca-Cola! It's the best drink ever.,Positive
Title 265,Coca-Cola always makes my day better.,Positive
Title 266,I love Coca-Cola! It's the best drink ever.,Positive
Title 267,Coca-Cola always makes my day better.,Positive
Title 268,I love Coca-Cola! It's the best drink ever.,Positive
Title 269,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 270,Coca-Cola always makes my day better.,Positive
Title 271,My favorite beverage is Coca-Cola.,Positive
Title 272,I love Coca-Cola! It's the best drink ever.,Positive
Title 273,I love Coca-Cola! It's the best drink ever.,Positive
Title 274,Coca-Cola always makes my day better.,Positive
Title 275,My favorite beverage is Coca-Cola.,Positive
Title 276,My favorite beverage is Coca-Cola.,Positive
Title 277,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 278,My favorite beverage is Coca-Cola.,Positive
Title 279,My favorite beverage is Coca-Cola.,Positive
Title 280,My favorite beverage is Coca-Cola.,Positive
Title 281,Coca-Cola is amazing and refreshing.,Positive
Title 282,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 283,I love Coca-Cola! It's the best drink ever.,Positive
Title 284,Coca-Cola always makes my day better.,Positive
Title 285,I love Coca-Cola! It's the best drink ever.,Positive
Title 286,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 287,Coca-Cola always makes my day better.,Positive
Title 288,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 289,My favorite beverage is Coca-Cola.,Positive
Title 290,Coca-Cola always makes my day better.,Positive
Title 291,My favorite beverage is Coca-Cola.,Positive
Title 292,I love Coca-Cola! It's the best drink ever.,Positive
Title 293,I love Coca-Cola! It's the best drink ever.,Positive
Title 294,Coca-Cola always makes my day better.,Positive
Title 295,Coca-Cola always makes my day better.,Positive
Title 296,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 297,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 298,My favorite beverage is Coca-Cola.,Positive
Title 299,Coca-Cola always makes my day better.,Positive
Title 300,I love Coca-Cola! It's the best drink ever.,Positive
Title 301,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 302,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 303,I love Coca-Cola! It's the best drink ever.,Positive
Title 304,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 305,My favorite beverage is Coca-Cola.,Positive
Title 306,Coca-Cola always makes my day better.,Positive
Title 307,I love Coca-Cola! It's the best drink ever.,Positive
Title 308,Coca-Cola always makes my day better.,Positive
Title 309,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 310,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 311,I love Coca-Cola! It's the best drink ever.,Positive
Title 312,My favorite beverage is Coca-Cola.,Positive
Title 313,Coca-Cola is amazing and refreshing.,Positive
Title 314,I love Coca-Cola! It's the best drink ever.,Positive
Title 315,Coca-Cola is amazing and refreshing.,Positive
Title 316,Coca-Cola is amazing and refreshing.,Positive
Title 317,My favorite beverage is Coca-Cola.,Positive
Title 318,Coca-Cola is amazing and refreshing.,Positive
Title 319,Coca-Cola is amazing and refreshing.,Positive
Title 320,My favorite beverage is Coca-Cola.,Positive
Title 321,Coca-Cola is amazing and refreshing.,Positive
Title 322,Coca-Cola is amazing and refreshing.,Positive
Title 323,Coca-Cola is amazing and refreshing.,Positive
Title 324,I love Coca-Cola! It's the best drink ever.,Positive
Title 325,I love Coca-Cola! It's the best drink ever.,Positive
Title 326,I love Coca-Cola! It's the best drink ever.,Positive
Title 327,My favorite beverage is Coca-Cola.,Positive
Title 328,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 329,Coca-Cola is amazing and refreshing.,Positive
Title 330,Coca-Cola is amazing and refreshing.,Positive
Title 331,My favorite beverage is Coca-Cola.,Positive
Title 332,Coca-Cola is amazing and refreshing.,Positive
Title 333,I love Coca-Cola! It's the best drink ever.,Positive
Title 334,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 335,Coca-Cola always makes my day better.,Positive
Title 336,Coca-Cola is amazing and refreshing.,Positive
Title 337,I love Coca-Cola! It's the best drink ever.,Positive
Title 338,Coca-Cola always makes my day better.,Positive
Title 339,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 340,Coca-Cola always makes my day better.,Positive
Title 341,I love Coca-Cola! It's the best drink ever.,Positive
Title 342,Coca-Cola always makes my day better.,Positive
Title 343,My favorite beverage is Coca-Cola.,Positive
Title 344,Coca-Cola always makes my day better.,Positive
Title 345,Coca-Cola is amazing and refreshing.,Positive
Title 346,Coca-Cola is amazing and refreshing.,Positive
Title 347,My favorite beverage is Coca-Cola.,Positive
Title 348,I love Coca-Cola! It's the best drink ever.,Positive
Title 349,Coca-Cola is amazing and refreshing.,Positive
Title 350,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 351,Coca-Cola is amazing and refreshing.,Positive
Title 352,Coca-Cola is amazing and refreshing.,Positive
Title 353,I love Coca-Cola! It's the best drink ever.,Positive
Title 354,Coca-Cola always makes my day better.,Positive
Title 355,Coca-Cola is amazing and refreshing.,Positive
Title 356,My favorite beverage is Coca-Cola.,Positive
Title 357,Coca-Cola always makes my day better.,Positive
Title 358,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 359,I love Coca-Cola! It's the best drink ever.,Positive
Title 360,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 361,Coca-Cola always makes my day better.,Positive
Title 362,Coca-Cola always makes my day better.,Positive
Title 363,Coca-Cola always makes my day better.,Positive
Title 364,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 365,Coca-Cola always makes my day better.,Positive
Title 366,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 367,Coca-Cola always makes my day better.,Positive
Title 368,My favorite beverage is Coca-Cola.,Positive
Title 369,Coca-Cola always makes my day better.,Positive
Title 370,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 371,Coca-Cola is amazing and refreshing.,Positive
Title 372,Coca-Cola always makes my day better.,Positive
Title 373,Coca-Cola is amazing and refreshing.,Positive
Title 374,My favorite beverage is Coca-Cola.,Positive
Title 375,I love Coca-Cola! It's the best drink ever.,Positive
Title 376,My favorite beverage is Coca-Cola.,Positive
Title 377,Coca-Cola always makes my day better.,Positive
Title 378,Coca-Cola is amazing and refreshing.,Positive
Title 379,Coca-Cola is amazing and refreshing.,Positive
Title 380,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 381,Coca-Cola is amazing and refreshing.,Positive
Title 382,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 383,I love Coca-Cola! It's the best drink ever.,Positive
Title 384,Coca-Cola always makes my day better.,Positive
Title 385,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 386,I love Coca-Cola! It's the best drink ever.,Positive
Title 387,Coca-Cola is amazing and refreshing.,Positive
Title 388,Coca-Cola is amazing and refreshing.,Positive
Title 389,I love Coca-Cola! It's the best drink ever.,Positive
Title 390,Coca-Cola is amazing and refreshing.,Positive
Title 391,I love Coca-Cola! It's the best drink ever.,Positive
Title 392,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 393,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 394,I love Coca-Cola! It's the best drink ever.,Positive
Title 395,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 396,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 397,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 398,My favorite beverage is Coca-Cola.,Positive
Title 399,Coca-Cola always makes my day better.,Positive
Title 400,Coca-Cola is amazing and refreshing.,Positive
Title 401,My favorite beverage is Coca-Cola.,Positive
Title 402,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 403,I love Coca-Cola! It's the best drink ever.,Positive
Title 404,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 405,Coca-Cola always makes my day better.,Positive
Title 406,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 407,I love Coca-Cola! It's the best drink ever.,Positive
Title 408,Coca-Cola always makes my day better.,Positive
Title 409,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 410,Coca-Cola always makes my day better.,Positive
Title 411,Coca-Cola is amazing and refreshing.,Positive
Title 412,Coca-Cola is amazing and refreshing.,Positive
Title 413,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 414,Coca-Cola always makes my day better.,Positive
Title 415,I love Coca-Cola! It's the best drink ever.,Positive
Title 416,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 417,Coca-Cola is amazing and refreshing.,Positive
Title 418,Coca-Cola is amazing and refreshing.,Positive
Title 419,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 420,Coca-Cola always makes my day better.,Positive
Title 421,Coca-Cola is amazing and refreshing.,Positive
Title 422,Coca-Cola always makes my day better.,Positive
Title 423,Coca-Cola is amazing and refreshing.,Positive
Title 424,Coca-Cola is amazing and refreshing.,Positive
Title 425,My favorite beverage is Coca-Cola.,Positive
Title 426,Coca-Cola is amazing and refreshing.,Positive
Title 427,I love Coca-Cola! It's the best drink ever.,Positive
Title 428,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 429,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 430,Coca-Cola always makes my day better.,Positive
Title 431,Coca-Cola is amazing and refreshing.,Positive
Title 432,I love Coca-Cola! It's the best drink ever.,Positive
Title 433,Coca-Cola always makes my day better.,Positive
Title 434,My favorite beverage is Coca-Cola.,Positive
Title 435,Coca-Cola always makes my day better.,Positive
Title 436,Coca-Cola always makes my day better.,Positive
Title 437,Coca-Cola is amazing and refreshing.,Positive
Title 438,My favorite beverage is Coca-Cola.,Positive
Title 439,Coca-Cola always makes my day better.,Positive
Title 440,I love Coca-Cola! It's the best drink ever.,Positive
Title 441,I love Coca-Cola! It's the best drink ever.,Positive
Title 442,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 443,My favorite beverage is Coca-Cola.,Positive
Title 444,My favorite beverage is Coca-Cola.,Positive
Title 445,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 446,Coca-Cola always makes my day better.,Positive
Title 447,My favorite beverage is Coca-Cola.,Positive
Title 448,I love Coca-Cola! It's the best drink ever.,Positive
Title 449,I love Coca-Cola! It's the best drink ever.,Positive
Title 450,Coca-Cola is amazing and refreshing.,Positive
Title 451,My favorite beverage is Coca-Cola.,Positive
Title 452,Coca-Cola always makes my day better.,Positive
Title 453,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 454,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 455,Coca-Cola always makes my day better.,Positive
Title 456,Coca-Cola is amazing and refreshing.,Positive
Title 457,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 458,My favorite beverage is Coca-Cola.,Positive
Title 459,Coca-Cola is amazing and refreshing.,Positive
Title 460,My favorite beverage is Coca-Cola.,Positive
Title 461,I love Coca-Cola! It's the best drink ever.,Positive
Title 462,Coca-Cola is amazing and refreshing.,Positive
Title 463,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 464,Coca-Cola is amazing and refreshing.,Positive
Title 465,Coca-Cola is amazing and refreshing.,Positive
Title 466,Coca-Cola is amazing and refreshing.,Positive
Title 467,Coca-Cola is amazing and refreshing.,Positive
Title 468,My favorite beverage is Coca-Cola.,Positive
Title 469,I love Coca-Cola! It's the best drink ever.,Positive
Title 470,Coca-Cola always makes my day better.,Positive
Title 471,Coca-Cola is amazing and refreshing.,Positive
Title 472,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 473,Coca-Cola is amazing and refreshing.,Positive
Title 474,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 475,My favorite beverage is Coca-Cola.,Positive
Title 476,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 477,Coca-Cola always makes my day better.,Positive
Title 478,I love Coca-Cola! It's the best drink ever.,Positive
Title 479,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 480,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 481,I love Coca-Cola! It's the best drink ever.,Positive
Title 482,Coca-Cola always makes my day better.,Positive
Title 483,Coca-Cola is amazing and refreshing.,Positive
Title 484,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 485,I love Coca-Cola! It's the best drink ever.,Positive
Title 486,My favorite beverage is Coca-Cola.,Positive
Title 487,I love Coca-Cola! It's the best drink ever.,Positive
Title 488,My favorite beverage is Coca-Cola.,Positive
Title 489,Coca-Cola always makes my day better.,Positive
Title 490,Coca-Cola is amazing and refreshing.,Positive
Title 491,I love Coca-Cola! It's the best drink ever.,Positive
Title 492,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 493,Coca-Cola always makes my day better.,Positive
Title 494,I love Coca-Cola! It's the best drink ever.,Positive
Title 495,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 496,I love Coca-Cola! It's the best drink ever.,Positive
Title 497,My favorite beverage is Coca-Cola.,Positive
Title 498,I love Coca-Cola! It's the best drink ever.,Positive
Title 499,I love Coca-Cola! It's the best drink ever.,Positive
Title 500,I love Coca-Cola! It's the best drink ever.,Positive
Title 501,Coca-Cola always makes my day better.,Positive
Title 502,I love Coca-Cola! It's the best drink ever.,Positive
Title 503,Nothing beats a cold Coca-Cola on a hot day.,Positive
Title 504,My favorite beverage is Coca-Cola.,Positive
Title 505,My favorite beverage is Coca-Cola.,Positive
Title 506,I love Coca-Cola! It's the best drink ever.,Positive
Title 507,Coca-Cola always makes my day better.,Positive
Title 508,Coca-Cola always makes my day better.,Positive
